"county","county_names","region","zipcode","wwtp_name","sw_id","epaid","cdc_id","site_id","sample_location","sample_location_specify","method","capacity_mgd","population_served","institution_type","reporting_jurisdiction","wwtp_jurisdiction","wwtp_latitude","wwtp_longitude"
"Albany",36001,"Capital",12204,"Albany County WPD - North Plant","36001NY0026875L004","NY0026875","NY001026875F","NY001026875F","upstream","City of Watervliet","Upstream Unknown",35,10046,"not institution specific","ny","ny",42.68,-73.73
"Albany",36001,"Capital",12204,"Albany County WPD - North Plant","36001NY0026875L005","NY0026875","NY001026875G","NY001026875G","upstream","City of Cohoes","Upstream Unknown",35,16706,"not institution specific","ny","ny",42.68,-73.73
"Albany",36001,"Capital",12204,"Albany County WPD - North Plant","36001NY0026875L006","NY0026875","NY001026875H","NY001026875H","upstream","Village of Colonie","Upstream Unknown",35,7761,"not institution specific","ny","ny",42.68,-73.73
"Albany",36001,"Capital",12110,"Mohawk View WPCP","36001NY0027758ACWWM","NY0027758","NY001027758A","NY001027758A","wwtp","Town of Colonie","Influent",6,27509,"not institution specific","ny","ny",42.78,-73.77
"Allegany",36003,"Western New York",14895,"Wellsville - V WWTP","36003NY0020621ACWWB","NY0020621","NY003020621A","NY003020621A","wwtp","Wellsville","Influent",2.2,4963,"not institution specific","ny","ny",42.13,-77.96
"Allegany",36003,"Western New York",14803,"Alfred WWTP","36003NY0022357ACWWF","NY0022357","NY003022357A","NY003022357A","wwtp","Alfred","Influent",0.98,4155,"not institution specific","ny","ny",42.26,-77.78
"Bronx",36005,"New York City",10474,"Hunts Point WWTP","36005NY0026191NYCWWC","NY0026191","NY005026191A","NY005026191A","wwtp","Hunts Point","Influent",200,769120,"not institution specific","ny","ny",40.8,-73.88
"Broome",36007,"Southern Tier",13790,"Binghamton Johnson City STP","36007NY0024414BCWWC","NY0024414","NY007024414A","NY007024414A","wwtp","Binghamton","Influent",35,76876,"not institution specific","ny","ny",42.1,-75.96
"Broome",36007,"Southern Tier",13790,"Binghamton Johnson City STP","36007NY0024414C002","NY0024414","NY007024414B","NY007024414B","upstream","Binghamton - South","Upstream Unknown",35,24672,"not institution specific","ny","ny",42.1,-75.96
"Broome",36007,"Southern Tier",13790,"Binghamton Johnson City STP","36007NY0024414C003","NY0024414","NY007024414C","NY007024414C","upstream","Binghamton - North","Upstream Unknown",35,52501,"not institution specific","ny","ny",42.1,-75.96
"Broome",36007,"Southern Tier",13760,"Endicott - V WPCP","36007NY0027669BCWWA","NY0027669","NY007027669A","NY007027669A","wwtp","Endicott","Influent",10,38726,"not institution specific","ny","ny",42.09,-76.09
"Broome",36007,"Southern Tier",13760,"Endicott - V WPCP","36007NY0027669A002","NY0027669","NY007027669B","NY007027669B","upstream","Village of Endicott","Upstream Unknown",10,13005,"not institution specific","ny","ny",42.09,-76.09
"Broome",36007,"Southern Tier",13760,"Endicott - V WPCP","36007NY0027669A003","NY0027669","NY007027669C","NY007027669C","upstream","Vestal","Upstream Unknown",10,5818,"not institution specific","ny","ny",42.09,-76.09
"Broome",36007,"Southern Tier",13901,"Chenango Northgate WWTP","36007NY0213781BCWWE","NY0213781","NY007213781A","NY007213781A","wwtp","Chenango","Influent",0.8,4500,"not institution specific","ny","ny",42.16,-75.89
"Cattaraugus",36009,"Western New York",14779,"Salamanca WWTP","36009NY0020508CCWWL","NY0020508","NY009020508A","NY009020508A","wwtp","Salamanca City","Influent",NA,5593,"not institution specific","ny","ny",NA,NA
"Cattaraugus",36009,"Western New York",14760,"Olean STP","36009NY0027162CCWWI","NY0027162","NY009027162A","NY009027162A","wwtp","Olean","Influent",7,17760,"not institution specific","ny","ny",42.07,-78.45
"Cayuga",36011,"Central New York",13021,"Auburn","36011NY0021903CCWW3","NY0021903","NY011021903B","NY011021903B","upstream","Auburn - South Interceptor","Upstream Unknown",12,7575,"not institution specific","ny","ny",42.94,-76.59
"Cayuga",36011,"Central New York",13021,"Auburn","36011NY0021903CCWW4","NY0021903","NY011021903C","NY011021903C","upstream","Auburn - Owasco Interceptor","Upstream Unknown",12,17250,"not institution specific","ny","ny",42.94,-76.59
"Cayuga",36011,"Central New York",13021,"Auburn","36011NY0021903CCWW2","NY0021903","NY011021903D","NY011021903D","upstream","Auburn - North Interceptor","Upstream Unknown",12,7374,"not institution specific","ny","ny",42.94,-76.59
"Cayuga",36011,"Central New York",13021,"Auburn","36011NY0021903CCWW1","NY0021903","NY011021903A","NY011021903A","wwtp","Auburn - WPCP Influent","Influent",12,31814,"not institution specific","ny","ny",42.94,-76.59
"Chautauqua",36013,"Western New York",14787,"Westfield WPCF","36013NY0021334CCWWB","NY0021334","NY013021334A","NY013021334A","wwtp","Westfield","Influent",2.6,3365,"not institution specific","ny","ny",42.33,-79.59
"Chautauqua",36013,"Western New York",14048,"Fredonia WWTP","36013NY0026409CCWWK","NY0026409","NY013026409A","NY013026409A","wwtp","Fredonia","Influent",3.3,12361,"not institution specific","ny","ny",42.47,-79.37
"Chautauqua",36013,"Western New York",14733,"Jamestown STP","36013NY0027570CCWWD","NY0027570","NY013027570A","NY013027570A","wwtp","Jamestown","Influent",12,32501,"not institution specific","ny","ny",42.11,-79.16
"Chautauqua",36013,"Western New York",14048,"City of Dunkirk WWTP","36013NY0027961CCWWL","NY0027961","NY013027961A","NY013027961A","wwtp","City of Dunkirk","Influent",6,12616,"not institution specific","ny","ny",42.5,-79.32
"Chautauqua",36013,"Western New York",14701,"South and Center Chautauqua Lake WWTP","36013NY0106895CCWWC","NY0106895","NY013106895A","NY013106895A","wwtp","South and Center Chautauqua Lake","Influent",4.1,9379,"not institution specific","ny","ny",42.11,-79.27
"Chemung",36015,"Southern Tier",14904,"Chemung County Elmira SD","36015NY0035742CCWWA","NY0035742","NY015035742A","NY015035742A","wwtp","Elmira City - South","Influent",12,38037,"not institution specific","ny","ny",42.07,-76.78
"Chemung",36015,"Southern Tier",14903,"Chemung County SD No 1 STP","36015NY0036986CCWWB","NY0036986","NY015036986A","NY015036986A","wwtp","Elmira City - North","Influent",12.2,18085,"not institution specific","ny","ny",42.12,-76.81
"Chenango",36017,"Southern Tier",13815,"Norwich - C WWTP","36017NY0021423CCWWC","NY0021423","NY017021423A","NY017021423A","wwtp","Norwich","Influent",2.2,6734,"not institution specific","ny","ny",42.51,-75.52
"Clinton",36019,"North Country",12918,"Dannemora STP","36019NY0022195CCWWG","NY0022195","NY019022195A","NY019022195A","wwtp","Village of Danemora","Influent",1.5,5532,"not institution specific","ny","ny",44.71,-73.71
"Clinton",36019,"North Country",12901,"Plattsburgh WPCP","36019NY0026018CCWWE","NY0026018","NY019026018A","NY019026018A","wwtp","Plattsburgh","Influent",16,20893,"not institution specific","ny","ny",44.7,-73.45
"Clinton",36019,"North Country",12918,"Cadyville WWTP","36019NY0255751CCWWD","NY0255751","NY019255751A","NY019255751A","wwtp","Cadyville","Influent",0.01,4499,"not institution specific","ny","ny",44.7,-73.63
"Columbia",36021,"Capital",12534,"Hudson - C STP","36021NY0022039CCWWB","NY0022039","NY021022039A","NY021022039A","wwtp","Hudson","Influent",2.8,6374,"not institution specific","ny","ny",42.26,-73.79
"Cortland",36023,"Central New York",13045,"Cortland","36023NY0027561001","NY0027561","NY023027561A","NY023027561A","wwtp","Cortland","Influent",9,26950,"not institution specific","ny","ny",42.6,-76.16
"Delaware",36025,"Southern Tier",13838,"Sidney - V STP","36025NY0029271DCWWE","NY0029271","NY025029271A","NY025029271A","wwtp","Sidney","Influent",1.7,3581,"not institution specific","ny","ny",42.31,-75.4
"Dutchess",36027,"Mid-Hudson",12508,"Beacon WPCP","36027NY0025976DCWWG","NY0025976","NY027025976A","NY027025976A","wwtp","Beacon","Influent",6,14525,"not institution specific","ny","ny",41.49,-73.98
"Dutchess",36027,"Mid-Hudson",12601,"Poughkeepsie STP","36027NY0026255DCWW1","NY0026255","NY027026255A","NY027026255A","wwtp","City of Poughkeepsie","Influent",10,38207,"not institution specific","ny","ny",41.72,-73.94
"Dutchess",36027,"Mid-Hudson",12601,"Poughkeepsie - T Arlington WWTP","36027NY0026271DCWW2","NY0026271","NY027026271A","NY027026271A","wwtp","Town of Poughkeepsie","Influent",4,21516,"not institution specific","ny","ny",41.65,-73.94
"Dutchess",36027,"Mid-Hudson",12508,"Rombout STP","36027NY0060976DCWWF","NY0060976","NY027060976A","NY027060976A","wwtp","Rombout","Influent",0.75,3391,"not institution specific","ny","ny",41.52,-73.98
"Dutchess",36027,"Mid-Hudson",12524,"Village of Fishkill STP","36027NY0060992DCWWL","NY0060992","NY027060992A","NY027060992A","wwtp","Village of Fishkill","Influent",0.45,8577,"not institution specific","ny","ny",41.53,-73.9
"Dutchess",36027,"Mid-Hudson",12590,"Tri-Municipal WWTP","36027NY0149209DCWWI","NY0149209","NY027149209A","NY027149209A","wwtp","Wappingers Falls","Influent",2.78,13856,"not institution specific","ny","ny",41.61,-73.94
"Erie",36029,"Western New York",14141,"Springville WWTP","36029NY0021474ECWWY","NY0021474","NY029021474A","NY029021474A","wwtp","Village of Springville","Influent",1.15,4371,"not institution specific","ny","ny",42.5,-78.67
"Erie",36029,"Western New York",14218,"ECSD No 6 Lackawanna WRRF","36029NY0022136E025","NY0022136","NY029022136A","NY029022136A","wwtp","Lackawanna WRRF","Influent",4.5,17983,"not institution specific","ny","ny",42.82,-78.84
"Erie",36029,"Western New York",14006,"ECSD 2 - Big Sister Creek WRRF","36029NY0022543E026","NY0022543","NY029022543A","NY029022543A","wwtp","Big Sister Creek WRRF","Influent",4.5,24461,"not institution specific","ny","ny",42.66,-79.06
"Erie",36029,"Western New York",14228,"Amherst WWTF","36029NY0025950E023","NY0025950","NY029025950A","NY029025950A","wwtp","University At Buffalo","Influent",36,26309,"not institution specific","ny","ny",43.05,-78.81
"Erie",36029,"Western New York",14228,"Amherst WWTF","36029NY0025950E020","NY0025950","NY029025950B","NY029025950B","wwtp","Amherst WPCF","Influent",36,142478,"not institution specific","ny","ny",43.05,-78.81
"Erie",36029,"Western New York",14150,"Tonawanda WWTF","36029NY0026395E022","NY0026395","NY029026395B","NY029026395B","wwtp","Kenmore and Tonawanda","Upstream Pump Station",30,71131,"not institution specific","ny","ny",42.99,-78.9
"Erie",36029,"Western New York",14150,"Tonawanda WWTF","36029NY0026395E021","NY0026395","NY029026395C","NY029026395C","wwtp","City of Tonawanda","Upstream Pump Station",30,14742,"not institution specific","ny","ny",42.99,-78.9
"Erie",36029,"Western New York",14150,"Tonawanda WWTF","36029NY0026395ECWWZ","NY0026395","NY029026395A","NY029026395A","wwtp","Town of Tonawanda","Influent",30,85876,"not institution specific","ny","ny",42.99,-78.9
"Erie",36029,"Western New York",14072,"Grand Island SD 2","36029NY0027693ECWWW","NY0027693","NY029027693A","NY029027693A","wwtp","Grand Island","Influent",3.5,20890,"not institution specific","ny","ny",43.06,-78.97
"Erie",36029,"Western New York",14213,"Bird Island STP","36029NY0028410BU02","NY0028410","NY029028410B","NY029028410B","upstream","Jersey St and 4th St","Upstream Unknown",180,36360,"not institution specific","ny","ny",42.92,-78.9
"Erie",36029,"Western New York",14213,"Bird Island STP","36029NY0028410BU04","NY0028410","NY029028410C","NY029028410C","upstream","Bird Ave","Upstream Unknown",180,21804,"not institution specific","ny","ny",42.92,-78.9
"Erie",36029,"Western New York",14213,"Bird Island STP","36029NY0028410BU03","NY0028410","NY029028410D","NY029028410D","upstream","Niagara St and Albany St","Upstream Unknown",180,8920,"not institution specific","ny","ny",42.92,-78.9
"Erie",36029,"Western New York",14213,"Bird Island STP","36029NY0028410BU01","NY0028410","NY029028410E","NY029028410E","upstream","Bailey Ave","Upstream Unknown",180,74629,"not institution specific","ny","ny",42.92,-78.9
"Erie",36029,"Western New York",14213,"Bird Island STP","36029NY0028410BU07","NY0028410","NY029028410F","NY029028410F","upstream","Ontario St","Upstream Unknown",180,9371,"not institution specific","ny","ny",42.92,-78.9
"Erie",36029,"Western New York",14213,"Bird Island STP","36029NY0028410BU06","NY0028410","NY029028410G","NY029028410G","upstream","Arthur St","Upstream Unknown",180,60441,"not institution specific","ny","ny",42.92,-78.9
"Erie",36029,"Western New York",14213,"Bird Island STP","36029NY0028410BU10","NY0028410","NY029028410H","NY029028410H","upstream","Hagen St","Upstream Unknown",180,4387,"not institution specific","ny","ny",42.92,-78.9
"Erie",36029,"Western New York",14213,"Bird Island STP","36029NY0028410BU09","NY0028410","NY029028410I","NY029028410I","upstream","Texas St","Upstream Unknown",180,7078,"not institution specific","ny","ny",42.92,-78.9
"Erie",36029,"Western New York",14213,"Bird Island STP","36029NY0028410BU05","NY0028410","NY029028410J","NY029028410J","upstream","Fernwood Ave","Upstream Unknown",180,23297,"not institution specific","ny","ny",42.92,-78.9
"Erie",36029,"Western New York",14213,"Bird Island STP","36029NY0028410BU08","NY0028410","NY029028410K","NY029028410K","upstream","Bailey Ave and Navel Ave","Upstream Unknown",180,15608,"not institution specific","ny","ny",42.92,-78.9
"Erie",36029,"Western New York",14213,"Bird Island STP","36029NY0028410BU11","NY0028410","NY029028410A","NY029028410A","wwtp","Bird Island Influent","Influent",180,431141,"not institution specific","ny","ny",42.92,-78.9
"Erie",36029,"Western New York",14052,"East Aurora WRRF","36029NY0028436ECWWP","NY0028436","NY029028436A","NY029028436A","wwtp","Village of East Aurora","Influent",3.14,6908,"not institution specific","ny","ny",42.76,-78.63
"Erie",36029,"Western New York",14219,"Southtowns WRRF","36029NY0095401E024","NY0095401","NY029095401A","NY029095401A","wwtp","Southtowns","Influent",16,83961,"not institution specific","ny","ny",42.79,-78.85
"Essex",36031,"North Country",12913,"Saranac Lake STP","36031NY0021733ECWWB","NY0021733","NY031021733A","NY031021733A","wwtp","Saranac Lake","Influent",2.62,6264,"not institution specific","ny","ny",44.35,-74.11
"Essex",36031,"North Country",12946,"Lake Placid WPCP","36031NY0022187ECWWC","NY0022187","NY031022187A","NY031022187A","wwtp","Lake Placid","Influent",2.5,3076,"not institution specific","ny","ny",44.27,-73.97
"Essex",36031,"North Country",12883,"Ticonderoga SD No 5 WPCP","36031NY0036706ECWWF","NY0036706","NY031036706A","NY031036706A","wwtp","Ticonderoga","Influent",1.7,3263,"not institution specific","ny","ny",43.85,-73.42
"Franklin",36033,"North Country",12986,"Tupper Lake WWTP","36033NY0029939FCWWA","NY0029939","NY033029939A","NY033029939A","wwtp","Tupper Lake","Influent",4.5,4918,"not institution specific","ny","ny",44.23,-74.48
"Franklin",36033,"North Country",12953,"Village of Malone WWTP","36033NY0030376FCWWC","NY0030376","NY033030376A","NY033030376A","wwtp","Village of Malone","Influent",3.3,7175,"not institution specific","ny","ny",44.86,-74.3
"Franklin",36033,"North Country",13655,"St. Regis Mohawk Tribe WWTP","36033SR0240281FCWWG","SR0240281","SR033240281A","SR033240281A","wwtp","Akwasasne Nation","Influent",NA,3314,"not institution specific","ny","ny",NA,NA
"Fulton",36035,"Mohawk Valley",12095,"Gloversville-Johnstown Joint WWTP","36035NY0026042FCWWD","NY0026042","NY035026042A","NY035026042A","wwtp","Johnstown","Influent",10.2,23379,"not institution specific","ny","ny",42.99,-74.4
"Genesee",36037,"Finger Lakes",14011,"Attica WWTP","36037NY0021849GCWWF","NY0021849","NY037021849A","NY037021849A","wwtp","Village of Attica","Influent",1.4,4740,"not institution specific","ny","ny",42.87,-78.28
"Genesee",36037,"Finger Lakes",14020,"Batavia - C STP","36037NY0026514GCWWI","NY0026514","NY037026514A","NY037026514A","wwtp","City of Batavia","Influent",5.5,16459,"not institution specific","ny","ny",42.99,-78.2
"Genesee",36037,"Finger Lakes",14482,"Leroy - V WWTP","36037NY0030546GCWWC","NY0030546","NY037030546A","NY037030546A","wwtp","Village of Leroy","Influent",1,4191,"not institution specific","ny","ny",42.99,-77.99
"Greene",36039,"Capital",12414,"Catskill - V WWTP","36039NY0020389GCWWC","NY0020389","NY039020389A","NY039020389A","wwtp","Catskill","Influent",1.55,4896,"not institution specific","ny","ny",42.21,-73.86
"Herkimer",36043,"Mohawk Valley",13350,"Herkimer WPCF","36043NY0020486HCWWD","NY0020486","NY043020486A","NY043020486A","wwtp","Village of Herkimer","Influent",1.7,7571,"not institution specific","ny","ny",43.02,-74.98
"Herkimer",36043,"Mohawk Valley",13365,"Little Falls WWTP","36043NY0022403HCWWB","NY0022403","NY043022403A","NY043022403A","wwtp","Little Falls","Influent",7,4602,"not institution specific","ny","ny",43.04,-74.84
"Herkimer",36043,"Mohawk Valley",13407,"Herkimer Co SD WWTF","36043NY0036528HCWWE","NY0036528","NY043036528A","NY043036528A","wwtp","Herkimer County SD","Influent",6.1,13924,"not institution specific","ny","ny",43.01,-75.01
"Jefferson",36045,"North Country",13619,"West Carthage WPCF","36045NY0025151JCWWC","NY0025151","NY045025151A","NY045025151A","wwtp","Village of West Carthage","Influent",4,4077,"not institution specific","ny","ny",43.98,-75.63
"Jefferson",36045,"North Country",13601,"Watertown WPCF","36045NY0025984WWPCA","NY0025984","NY045025984A","NY045025984A","wwtp","Watertown City","Influent",15.9,26270,"not institution specific","ny","ny",43.99,-75.93
"Jefferson",36045,"North Country",13601,"Watertown WPCF","36045NY0025984WWPCB","NY0025984","NY045025984B","NY045025984B","wwtp","Fort Drum and Towns of Rutland and Le Ray","Influent",15.9,23485,"not institution specific","ny","ny",43.99,-75.93
"Kings",36047,"New York City",11220,"Owls Head WWTP","36047NY0026166NYCWWI","NY0026166","NY047026166A","NY047026166A","wwtp","Owls Head","Influent",120,825096,"not institution specific","ny","ny",40.64,-74.03
"Kings",36047,"New York City",11229,"Coney Island WWTP","36047NY0026182NYCWWK","NY0026182","NY047026182A","NY047026182A","wwtp","Coney Island","Influent",110,710768,"not institution specific","ny","ny",40.59,-73.93
"Kings",36047,"New York City",11222,"Newtown Creek WWTP","36047NY0026204NYCWWG","NY0026204","NY047026204A","NY047026204A","wwtp","Newtown Creek","Influent",310,1197476,"not institution specific","ny","ny",40.73,-73.95
"Kings",36047,"New York City",11222,"Newtown Creek WWTP","36047NY0026204NYCWWG03","NY0026204","NY047026204C","NY047026204C","upstream","Newtown Creek- Brooklyn-Queens","Upstream Unknown",310,631080,"not institution specific","ny","ny",40.73,-73.95
"Kings",36047,"New York City",11222,"Newtown Creek WWTP","36047NY0026204NYCWWG02","NY0026204","NY047026204B","NY047026204B","upstream","Newtown Creek- Manhattan","Upstream Unknown",310,566396,"not institution specific","ny","ny",40.73,-73.95
"Kings",36047,"New York City",11239,"26th Ward WWTP","36047NY0026212NYCWWJ","NY0026212","NY047026212A","NY047026212A","wwtp","26th Ward","Influent",85,295778,"not institution specific","ny","ny",40.65,-73.88
"Kings",36047,"New York City",11251,"Red Hook WWTP","36047NY0027073NYCWWH","NY0027073","NY047027073A","NY047027073A","wwtp","Red Hook","Influent",60,251164,"not institution specific","ny","ny",40.7,-73.98
"Lewis",36049,"North Country",13367,"Lowville MPCF","36049NY0020125LCWWE","NY0020125","NY049020125A","NY049020125A","wwtp","Village of Lowville","Influent",1.8,3953,"not institution specific","ny","ny",43.78,-75.48
"Livingston",36051,"Finger Lakes",14437,"Dansville - V WWTP","36051NY0024384LCWWJ","NY0024384","NY051024384A","NY051024384A","wwtp","Dansville","Influent",1.5,4730,"not institution specific","ny","ny",42.57,-77.72
"Livingston",36051,"Finger Lakes",14423,"Avon - V WWTP","36051NY0024449LCWWA","NY0024449","NY051024449A","NY051024449A","wwtp","Village of Avon","Influent",2.75,3288,"not institution specific","ny","ny",42.92,-77.76
"Livingston",36051,"Finger Lakes",14454,"Geneseo - V WWTP","36051NY0030635LCWWD","NY0030635","NY051030635A","NY051030635A","wwtp","Geneseo","Influent",1.5,15688,"not institution specific","ny","ny",42.81,-77.82
"Livingston",36051,"Finger Lakes",14480,"Lakeville WWTP","36051NY0032328LCWWC","NY0032328","NY051032328A","NY051032328A","wwtp","Lakeville","Influent",0.98,5361,"not institution specific","ny","ny",42.85,-77.71
"Madison",36053,"Central New York",13346,"Hamilton - V WPCP","36053NY0020672MCWWF","NY0020672","NY053020672A","NY053020672A","wwtp","Village of Hamilton","Influent",0.85,3249,"not institution specific","ny","ny",42.82,-75.55
"Madison",36053,"Central New York",13037,"Chittenango - V STP","36053NY0021539MCWWD","NY0021539","NY053021539A","NY053021539A","wwtp","Village of Chittenango","Influent",1.3,4908,"not institution specific","ny","ny",43.06,-75.88
"Madison",36053,"Central New York",13421,"Oneida - C STP","36053NY0026956MCWWC","NY0026956","NY053026956A","NY053026956A","wwtp","Oneida City","Influent",3.75,9207,"not institution specific","ny","ny",43.1,-75.65
"Madison",36053,"Central New York",13035,"Town Of Cazenovia SSDS","36053NY0028525001","NY0028525","NY053028525A","NY053028525A","wwtp","Village of Cazenovia","Influent",0.95,3317,"not institution specific","ny","ny",42.94,-75.84
"Madison",36053,"Central New York",13032,"Canastota - V WPCP","36053NY0029807MCWWE","NY0029807","NY053029807A","NY053029807A","wwtp","Village of Canastota","Influent",1.73,4843,"not institution specific","ny","ny",43.1,-75.76
"Monroe",36055,"Finger Lakes",14580,"Webster - T STP","36055NY0021610MCWWD","NY0021610","NY055021610A","NY055021610A","wwtp","Town of Webster","Influent",7.5,43074,"not institution specific","ny","ny",43.26,-77.41
"Monroe",36055,"Finger Lakes",14468,"NW Quadrant Pure Waters District","36055NY0028231006","NY0028231","NY055028231A","NY055028231A","wwtp","Northwest Quadrant","Influent",22,155096,"not institution specific","ny","ny",43.32,-77.74
"Monroe",36055,"Finger Lakes",14617,"Frank E Van Lare","36055NY0028339001","NY0028339","NY055028339B","NY055028339B","upstream","IBPS Sewer Basin","Upstream Manhole",135,223733,"not institution specific","ny","ny",43.24,-77.58
"Monroe",36055,"Finger Lakes",14617,"Frank E Van Lare","36055NY0028339002","NY0028339","NY055028339C","NY055028339C","upstream","GCO Sewer Basin","Upstream Manhole",135,108703,"not institution specific","ny","ny",43.24,-77.58
"Monroe",36055,"Finger Lakes",14617,"Frank E Van Lare","36055NY0028339003","NY0028339","NY055028339D","NY055028339D","upstream","Norton and Jewel Sewer Basin","Upstream Manhole",135,77945,"not institution specific","ny","ny",43.24,-77.58
"Monroe",36055,"Finger Lakes",14617,"Frank E Van Lare","36055NY0028339004","NY0028339","NY055028339E","NY055028339E","upstream","Cliff St Sewer Basin","Upstream Manhole",135,51689,"not institution specific","ny","ny",43.24,-77.58
"Monroe",36055,"Finger Lakes",14617,"Frank E Van Lare","36055NY0028339005","NY0028339","NY055028339F","NY055028339F","upstream","Glenwood Basin","Upstream Manhole",135,25780,"not institution specific","ny","ny",43.24,-77.58
"Monroe",36055,"Finger Lakes",14617,"Frank E Van Lare","36055NY0028339000","NY0028339","NY055028339A","NY055028339A","wwtp","FEV WWTP - Rochester","Influent",135,487322,"not institution specific","ny","ny",43.24,-77.58
"Montgomery",36057,"Mohawk Valley",12010,"Amsterdam - C WWTP","36057NY0020290MCWWE","NY0020290","NY057020290A","NY057020290A","wwtp","Amsterdam","Influent",10,19679,"not institution specific","ny","ny",42.92,-74.17
"Nassau",36059,"Long Island",11561,"Long Beach WPCP","36059NY0020567NCWWG","NY0020567","NY059020567A","NY059020567A","wwtp","Long Beach","Influent",7.5,33939,"not institution specific","ny","ny",40.59,-73.67
"Nassau",36059,"Long Island",11732,"Oyster Bay STP","36059NY0021822NCWWC","NY0021822","NY059021822A","NY059021822A","wwtp","Oyster Bay","Influent",1.8,5824,"not institution specific","ny","ny",40.88,-73.53
"Nassau",36059,"Long Island",11518,"Bay Park STP","36059NY0026450NCWWH","NY0026450","NY059026450A","NY059026450A","wwtp","Bay Park","Influent",70,611349,"not institution specific","ny","ny",40.63,-73.66
"Nassau",36059,"Long Island",11542,"Glen Cove WWTF","36059NY0026620NCWWB","NY0026620","NY059026620A","NY059026620A","wwtp","Glen Cove","Influent",5.5,27494,"not institution specific","ny","ny",40.86,-73.64
"Nassau",36059,"Long Island",11050,"Port Washington WPCP","36059NY0026778NCWWA","NY0026778","NY059026778A","NY059026778A","wwtp","Port Washington","Influent",4,20616,"not institution specific","ny","ny",40.84,-73.7
"Nassau",36059,"Long Island",11021,"Belgrave WPCD","36059NY0026841NCWWD","NY0026841","NY059026841A","NY059026841A","wwtp","Belgrave","Influent",2,8288,"not institution specific","ny","ny",40.78,-73.74
"Nassau",36059,"Long Island",11793,"Cedar Creek WPCP","36059NY0026859NCWWI","NY0026859","NY059026859A","NY059026859A","wwtp","Cedar Creek","Influent",72,524955,"not institution specific","ny","ny",40.65,-73.51
"Nassau",36059,"Long Island",11023,"Great Neck WPCD","36059NY0026999NCWWE","NY0026999","NY059026999A","NY059026999A","wwtp","Great Neck","Influent",5.3,24041,"not institution specific","ny","ny",40.8,-73.71
